source,text,ref,new
"תוספות שם ד""ה 'כמאן מצלינן':","['כמאן מצלינן זה היום תחלת מעשיך - תימה הא קי""ל כרבי יהושע כדאמרינן בפ""ק (דף יב ע""א) לתקופה כר\' יהושע ואומר ר""ת דקי""ל כרב עינא דפריך משוה יובל ורב עינא ה""ק והא איכא זה היום תחלת מעשיך דאיתיה בראש השנה וליתיה ביובל אלא ודאי הא דאמרינן ליה לאו משום ברייתו של עולם אלא משום תחלת מעשה דין שהעולם נדון בו להתקיים או לאו וזה שייך נמי ביוה""כ דיובל דהוקש לר""ה.']",,Tosafot on Rosh Hashanah 27a:15:1
"רש""י ראש השנה כו ע""ב ד""ה 'שוה היובל':","['שוה היובל לראש השנה לתקיעה – בפשוטין, ואף על גב דתקיעתו ביובל לא לתפלה ולא לזכרון אלא לסימן שילוח עבדים והשמטת מכירת שדות, אפילו הכי כדראש השנה בעי למעבדיה דגמרינן לה לגזירה שוה שביעי שביעי בפרק בתרא (לד ע""א).']",Rashi on Rosh Hashanah 26b:9:1,
"משנה תענית ב, א–ג:","['א. סדר תעניות כיצד? מוציאין את התיבה לרחובה של עיר ונותנין אפר מקלה על גבי התיבה ובראש הנשיא ובראש אב בית דין, וכל אחד ואחד נותן בראשו. הזקן שבהן אומר לפניהן דברי כבושין, אחינו לא נאמר באנשי נינוה וירא אלהים את שקם ואת תעניתם, אלא וירא אלהים את מעשיהם כי שבו מדרכם הרעה. ובקבלה הוא אומר, וקרעו לבבכם ואל בגדיכם.', 'ב. עמדו בתפלה. מורידין לפני התיבה זקן ורגיל ויש לו בנים וביתו ריקם, כדי שיהא לבו שלם בתפלה. ואומר לפניהם עשרים וארבעה ברכות, שמונה עשרה שבכל יום ומוסיף עליהן עוד שש.', ""ג. ואלו הן: זכרונות, ושופרות, אל ה' בצרתה לי קראתי ויענני, אשא עיני אל ההרים וגו', ממעמקים קראתיך ה', תפלה לעני כי יעטוף. ר' יהודה אומר: לא היה צריך לומר זכרונות ושופרות, אלא אומר תחתיהן רעב כי יהיה בארץ דבר כי יהיה בארץ, אשר היה דבר ה' אל ירמיהו על דברי הבצרות. ואומר חותמיהן.""]",Mishnah Ta'anit 2:1-3,
"תוספות יו""ט שם ד""ה 'זכרונות ושופרות':","['אלא נ""ל... והאי קרא גופיה דמיניה דריש כתיב ביה וביום שמחתכם וראש השנה נקרא יום שמחה ממה שנאמר ביום א\' לחדש השביעי וגו\' כי קדוש היום לאדונינו ואל תעצבו כי חדות ה\' היא מעוזכם, ויו""כ של יובל איש אל משפחתו ואיש אל אחוזת אבותיו ישוב שהוא ודאי שמחת לב. ואע""ג דלעיל מיניה דהאי קרא דביום שמחתכם כתיב וכי תבואו מלחמה על הצר וגו\' דדרשינן מיניה תקיעות דתענית במשנה ד פרק ג דראש השנה, הא פסוקי פסקי לקראי.']",,
"ראש השנה לג ע""ב – לד ע""א:","['תנו רבנן: מנין שבשופר? תלמוד לומר והעברת שופר תרועה. אין לי אלא ביובל, בראש השנה מנין? תלמוד לומר בחדש השביעי, שאין תלמוד לומר בחדש השביעי, ומה תלמוד לומר בחדש השביעי? שיהיו כל תרועות של חדש שביעי זה כזה. ומנין שפשוטה לפניה? תלמוד לומר והעברת שופר תרועה. ומנין שפשוטה לאחריה? תלמוד לומר תעבירו שופר. ואין לי אלא ביובל, בראש השנה מנין? תלמוד לומר בחדש השביעי, שאין תלמוד לומר בחדש השביעי, ומה תלמוד לומר בחדש השביעי, שיהו כל תרועות החדש השביעי זה - כזה. ומנין לשלש של שלש שלש? תלמוד לומר והעברת שופר תרועה, שבתון זכרון תרועה, יום תרועה יהיה לכם. ומנין ליתן את האמור של זה בזה ושל זה בזה? תלמוד לומר שביעי שביעי לגזירה שוה. הא כיצד? שלש שהן תשע. שיעור תקיעה כתרועה, שיעור תרועה כשלשה שברים. האי תנא, מעיקרא מייתי לה בהיקישא, והשתא מייתי לה בגזירה שוה? - הכי קאמר: אי לאו גזירה שוה - הוה מייתינא לה בהיקישא, השתא דאתיא גזירה שוה - היקישא לא צריך. והאי תנא מייתי לה בגזירה שוה ממדבר, דתניא: ותקעתם תרועה - תקיעה בפני עצמה ותרועה בפני עצמה. אתה אומר תקיעה בפני עצמה ותרועה בפני עצמה, או אינו אלא תקיעה ותרועה אחת היא? כשהוא אומר ובהקהיל את הקהל תתקעו ולא תריעו - הוי אומר: תקיעה בפני עצמה ותרועה בפני עצמה. ומנין שפשוטה לפניה? תלמוד לומר ותקעתם תרועה, ומנין שפשוטה לאחריה? תלמוד לומר תרועה יתקעו. רבי ישמעאל בנו של רבי יוחנן בן ברוקא אומר: אינו צריך, הרי הוא אומר ותקעתם תרועה שנית, שאין תלמוד לומר שנית, ומה תלמוד לומר שנית? זה בנה אב: שכל מקום שנאמר תרועה - תהא תקיעה שניה לה. אין לי אלא במדבר, בראש השנה מנין? תלמוד לומר תרועה תרועה לגזירה שוה. ושלש תרועות נאמרו בראש השנה: שבתון זכרון תרועה, יום תרועה, והעברת שופר תרועה. ושתי תקיעות לכל אחת ואחת. מצינו למדין: שלש תרועות ושש תקיעות נאמרו בראש השנה, שתים מדברי תורה ואחת מדברי סופרים; שבתון זכרון תרועה, והעברת שופר תרועה - מדברי תורה, יום תרועה יהיה לכם - לתלמודו הוא בא. רבי שמואל בר נחמני אמר רבי יונתן: אחת מדברי תורה, ושתים מדברי סופרים: והעברת שופר תרועה - מדברי תורה, שבתון זכרון תרועה, ויום תרועה יהיה לכם - לתלמודו הוא בא. מאי לתלמודו הוא בא? - מיבעי: ביום ולא בלילה. - ואידך: ביום ולא בלילה מנא ליה? נפקא ליה מביום הכפרים. אי [מביום] הכפרים יליף - נגמור נמי מיניה לפשוטה לפניה ופשוטה לאחריה! והעברת תעבירו - לא משמע להו. אלא מאי דרשי בהו? והעברת - כדרב מתנא, דאמר רב מתנא: והעברת - דרך העברתו, תעבירו דקאמר רחמנא נעבריה ביד. ואידך, דרב מתנא מדשני בדיבוריה. תעבירו ביד - לא מצית אמרת, דגמר עברה עברה ממשה, כתיב הכא והעברת שופר תרועה, וכתיב התם ויצו משה ויעבירו קול במחנה, מה להלן בקול - אף כאן בקול. ולהאי תנא דמייתי לה ממדבר, אי מה להלן חצוצרות - אף כאן חצוצרות? תלמוד לומר תקעו בחדש שופר בכסה ליום חגנו אי זהו חג שהחדש מתכסה בו - הוי אומר זה ראש השנה, וקאמר רחמנא שופר.']",Rosh Hashanah 33b-34a,
"שם כו ע""ב, המשנה (פ""ג מ""ג):","['שופר של ראש השנה של יעל, פשוט ופיו מצופה זהב, ושתי חצוצרות מן הצדדין. שופר מאריך וחצוצרות מקצרות, שמצות היום בשופר. ובתעניות בשל זכרים, כפופין ופיהן מצופה כסף, ושתי חצוצרות באמצע. שופר מקצר וחצוצרות מאריכות, שמצות היום בחצוצרות. שוה היובל לראש השנה לתקיעה ולברכות. רבי יהודה אומר: בראש השנה תוקעין בשל זכרים, וביובלות בשל יעלים.']",Rosh Hashanah 26b,
"תוספות שם ד""ה 'רבי יהודה':","['רבי יהודה אומר בר""ה בשל זכרים וביובלות בשל יעלים – לית ליה לרבי יהודה שוה יובל לר""ה והא דבעינן שופר בראש השנה לאו משום דילפינן מיובל אלא כאידך תנא דיליף בפ\' בתרא (שם דף לד ע""א) מדכתיב תקעו בחדש שופר ומיהו ההוא תנא נמי יליף ר""ה מיובל בגזרה שוה כדקאמרינן שלש תרועות נאמרו בר""ה ומייתי קרא דוהעברת שופר תרועה דכתיב ביובל וביום ולא בלילה נמי יליף מיובל כדקאמר התם והא דאיצטריך ליה קרא דתקעו בחדש שופר משום דיליף נמי ראש השנה ממדבר והוה אמינא דבחצוצרות כמדבר לכך נראה דמודה רבי יהודה דשוה יובל לר""ה אלא לענין הך מילתא אין שייך להשוותם להיות בשל זכרים כשל ר""ה דטעמא דר""ה מסברא בעלמא דכמה דכייף איניש טפי עדיף שהוא יום הדין ולהזכיר עקידה אבל יובל דלשלוח עבדים ושדות החוזרות לבעלים אין לחוש אלא שיהא שם שופר עליו אף על גב דר\' לוי נמי משוה להו לענין זה משום גזרה שוה יש לומר דבהא פליגי.']",,Tosafot on Rosh Hashanah 26b:9:1
"רא""ש ראש השנה ד, י:","['ור""ת כתב שיש לברך על תקיעת שופר משום דעשייתה היא גמר מצותה. וראבי""ה הביא הירושלמי תוקע שופר צריך לברך אקב""ו לשמוע בקול שופר ושהחיינו ואח""כ תוקעין. וכן כתב בה""ג הא דמברכים לשמוע בקול שופר ולא מברכים לתקוע בשופר או על תקיעת שופר כמו על מקרא מגילה משום דבשמיעת קול שופר הוא יוצא ולא בתקיעת שופר. כדתנן (לעיל דף כז ע""ב) התוקע לתוך הבור וכו\' ופעמים שהתוקע בעצמו לא יצא כגון שהיה עומד על שפת הבור והכניס פיו לתוך הבור ותקע.']",Rosh on Rosh Hashanah 4:10,
"תוספות הרא""ם על הסמ""ג עשין מב:","['מ""ע לתקוע בשופר – אע""ג דמקראי דיום תרועה וזכרון תרועה משמע שכל ישראל יוצאים בתרועה אחת... וא""א זה אלא על שמיעה מיהו לקמן ילפינן בג""ש דשביעי שביעי ליתן האמור של זה בזה, וקרא דוהעברת שופר דיובל כאלו הוא כתיב בראש השנה, וכיון דמהך קרא משמע תרועה כדילפינן העברה העברה ממשה, מה להלן בקול אף כאן בקול.']",,
"ראש השנה לד ע""א–ע""ב:","['אתקין רבי אבהו בקסרי: תקיעה, שלשה שברים, תרועה, תקיעה. מה נפשך? אי ילולי יליל - לעביד תקיעה תרועה ותקיעה, ואי גנוחי גנח - לעביד תקיעה שלשה שברים ותקיעה! מספקא ליה אי גנוחי גנח אי ילולי יליל. מתקיף לה רב עוירא: ודלמא ילולי הוה, וקא מפסיק שלשה שברים בין תרועה לתקיעה! דהדר עביד תקיעה תרועה ותקיעה. מתקיף לה רבינא: ודלמא גנוחי הוה, וקא מפסקא תרועה בין שברים לתקיעה! דהדר עביד תקיעה שברים תקיעה. אלא רבי אבהו מאי אתקין? אי גנוחי גנח - הא עבדיה, אי ילולי יליל - הא עבדיה! מספקא ליה דלמא גנח ויליל. אי הכי, ליעבד נמי איפכא: תקיעה, תרועה, שלשה שברים ותקיעה, דלמא יליל וגנח! סתמא דמילתא, כי מתרע באיניש מילתא - ברישא גנח והדר יליל.', 'תקע בראשונה ומשך בשניה כשתים. אמר רבי יוחנן: שמע תשע תקיעות בתשע שעות ביום, יצא, תניא נמי הכי: שמע תשע תקיעות בתשע שעות ביום – יצא.']",Rosh Hashanah 34,
"רש""ר הירש לבמדבר י, ג:","['ותקעו וגו\' – ברור מפסוק ז שתקיעה ותרועה הן שני קולות שונים. אף על פי כן נאמר בפסוק ה: ותקעתם תרועה - ולא ""והרעותם"", במקביל אל תריעו שבפסוק ז; ולמדנו מכאן שיש לצרף את שני קולות האלה ולפתוח את התרועה בתקיעה; ובהתאם לכך, הרי תרועה יתקעו של פסוק ו מורה שיש לסיים את התרועה בתקיעה. ולכך מתאימה גם ההלכה (ראש השנה לד ע""א והשוה פי\' ויקרא כג, כד). המשמעות המקורית של ""תקע"" היא: לנעוץ, להכניס בכח. אדם תוקע מסמר בקיר או יתד באדמה, או הוא תוקע את כפו בכף חבירו כדי לסמל הבטחה. וזו משמעות הסמל של תקיעת כף: כבעל הפעולה - או מוטב: כבעל הרכוש, שהרי הביטוי השגור הוא ""תקיעת כף"", ולא ""תקיעת יד"" - הרי הוא מוסר את עצמו לרשות חבירו בכח וללא סייג; כפו נשתעבדה לחבירו, והרי היא עומדת לשירותו. בביטוי זה הכף מסמלת את אישיותו של עושה הפעולה - או מוטב: של בעל הרכוש; ולפיכך מצאנו ""יִתָּקֵעַ"" (איוב יז, ג) במשמעות של בניין חוזר: לתקוע את עצמו. וכן נאמר במשלי ו, ג על מי שמסר תקיעת כף לחבירו: ""באת בכף רעך"". ובהשאלה לנגינה הרי זו משמעות ""תקע"": לנשוף בכח ובהתמדה כדי להכניס עמוד אויר לכלי נשיפה; ומשמעות ""תקיעה"": הקול היוצא על ידי כך מתוך הכלי והנכנס לאוזן בכח ובהתמדה. ומכאן המשמעות המיוחדת של ""תקיעה"": הקול הישר, המתמיד, שלא נשבר, היוצא מתוך כלי הנשיפה: ""פשוטה"". משמעות ""רוע"", ""רעע"": לשבור. כך: ""תרעם בשבט ברזל"" (תהלים ב, ט). בנגינה הוא מבטא את הקול השבור, הרועד, המתקבל מתוך ריבוי של קולות קצרים: ""תרועה"".', 'בפסוק ב נאמר שהמטרה העיקרית של החצוצרות היא ""למקרא העדה ולמסע את המחנות"". כסימן למקרא העדה משמשת התקיעה, הקול הישר של הקריאה (פסוקים ג, ד, ז); כסימן למסע המחנות משמשת התרועה, הקול השבור של האזעקה (פסוקים ה, ו); אלא שנאמר: ""ותקעתם תרועה"" ו""תרועה יתקעו"", ומכאן שהתרועה לא באה לבדה אלא ""פשוטה לפניה"" ו""פשוטה לאחריה"" (ראש השנה שם). למקרא העדה כיחידה - כשהיא מיוצגת על ידי הנשיאים ראשי אלפי ישראל - היו תוקעים בחצוצרה אחת (פסוק ד); ובכך היו נותנים ביטוי למושג היחידה. אולם אם נקראה העדה בריבוי פרטיה, היו תוקעים בשתי חצוצרות, ובכך היו נותנים ביטוי למושג הריבוי. הסימן למסע המחנות היה, כאמור, תרועה, אלא ש""פשוטה לפניה ופשוטה לאחריה"". והואיל והתקיעה היא סימן קריאה, והתרועה היא סימן אזעקה, הרי זו משמעות צירוף הקולות האלה: התקיעה הראשונה קוראת את כולם אל הנגיד המצווה לאומה. אלמלא נסמכה לה תרועה, היתה זו ההוראה: לבוא אל ראש האומה כדי לקבל ממנו את פקודותיו. אך מיד נשמעת תרועה, וזו מורה להביא את הכל לכלל תנועה, לפרק את המחנה ולהכין אותו למסע. וכך מצווה התקיעה המסיימת: משנתפרק המחנה, יש ללכת לכל מקום כמצוות הנגיד. ונראה שזו משמעות תרועה יתקעו למסעיהם: תיכף לתרועה ישמיעו תקיעה, וכך יתנו את ההוראה להמשך המסעות.']",,
"שם י, י:","['נמצא, שכך אומרת לנו התורה: הנה הגיעו ימי השמחה של דעת ה\', באו הזמנים שזכרונותיהם קוראים לנו להיוועד אל ה\', נכנסו הימים המעוררים אותנו להתחדשות; ובימים אלה נבטא בקרבן את דעת ה\', את השאיפה אל ה\' ואת ההתחדשות. בעולות, תמידים ומוספים, בשלמי ציבור של כבשי עצרת נבטא את קידוש המעשים ואת שמחת החיים שיביאו לידי קירבת ה\'; ובאותה שעה ""נקרא"" אל ה\' בתקיעת חצוצרות, נבקש ממנו שישמע את הנדרים שהזמן עורר בליבנו וישקיף על התמסרותנו המבקשת ""קירבת אלהים""; נקרא אליו שיקרב אלינו, כדרך ששמענו בקולו וביקשנו את קירבתו. נמצא, שגם תקיעת החצוצרות של קרבנות הציבור היא קריאה של ישראל אל ה\': אנחנו קוראים אליו שיקרב אלינו, וכך מבטאים את עיצומו של רעיון הקרבן. וכאשר אנחנו שואפים להתקרב אל ה\', וה\' נענה לנו ומתקרב אלינו, כבר מתקיים כל תוכנו של קרבן המועד; שהרי זמן הקרבן נעשה על ידי כך ל""מועד"", לזמן של היוועדות ישראל אל ה\'. וכבר אמרנו לעיל (ט, ב), שגם שבתות ותמידים הם מועדים של קרבנות.', 'ההלכה מורה שגם תקיעת הקרבנות לא באה לבדה, אלא היתה זו תקיעה־תרועה־תקיעה כדוגמת הקריאה לעזרה של הפסוק הקודם. ואף על פי שנאמר שם ""והרעתם"" וכאן ""ותקעתם"", כבר ביאר רמב""ן, ששם ההדגשה היא על תרועה - וכאן על תקיעה. שם זו תרועה הפותחת בתקיעה ומלֻווה על ידה, ואילו כאן אלו הן תקיעות הפותחות את התרועה ומלוות אותה. שם ההתערבות האלוהית היא התכלית וקירבת ה\' המיוחלת היא האמצעי, ואילו כאן קירבת ה\' היא התכלית, וההתערבות האלהית היא האמצעי. שכן גם קירבת ה\' המתמדת תלויה בהתערבות הכח האלוהי הכל יכול; היא תלויה בכפרה, שהיא מעשה פלא של חסד ה\', וזו תמחוק מעברנו את כל המתנגד לשאיפתנו להיות ראויים לקירבת ה\'. בזכות הכפרה ניוולד מחדש ונהיה ראויים לעתיד טהור וחדש. נמצא, שהתקיעה־תרועה־תקיעה של הקרבנות קוראת לה\' שיבוא אלינו (תקיעה), יכפר עלינו (תרועה) - על מנת שיהיה קרוב לנו מכאן ולהבא ויתמיד בלכתו עמנו.', 'אפשר שהמשמעות השונה של תקיעה־תרועה־תקיעה - כקריאה לעזרה או כקריאה עם הקרבנות - היתה ניכרת גם באופן ביצוע הקולות: שם הבליטו את התרועה על ידי שהאריכו בה והשמיעו אותה בקול חזק, ובאותה שיטה היו מבליטים את התקיעות כאן. וכעין זה מורה ההלכה ביחס לצירוף של חצוצרות ושופר בתענית ובראש השנה (ראש השנה כו ע""ב).']",,
"ויקרא כג, כו–לב:","[""וַיְדַבֵּר ה' אֶל מֹשֶׁה לֵּאמֹר: אַךְ בֶּעָשׂוֹר לַחֹדֶשׁ הַשְּׁבִיעִי הַזֶּה יוֹם הַכִּפֻּרִים הוּא מִקְרָא קֹדֶשׁ יִהְיֶה לָכֶם וְעִנִּיתֶם אֶת נַפְשֹׁתֵיכֶם וְהִקְרַבְתֶּם אִשֶּׁה לַה': וְכָל מְלָאכָה לֹא תַעֲשׂוּ בְּעֶצֶם הַיּוֹם הַזֶּה כִּי יוֹם כִּפֻּרִים הוּא לְכַפֵּר עֲלֵיכֶם לִפְנֵי ה' אֱלֹהֵיכֶם: כִּי כָל הַנֶּפֶשׁ אֲשֶׁר לֹא תְעֻנֶּה בְּעֶצֶם הַיּוֹם הַזֶּה וְנִכְרְתָה מֵעַמֶּיהָ: וְכָל הַנֶּפֶשׁ אֲשֶׁר תַּעֲשֶׂה כָּל מְלָאכָה בְּעֶצֶם הַיּוֹם הַזֶּה וְהַאֲבַדְתִּי אֶת הַנֶּפֶשׁ הַהִוא מִקֶּרֶב עַמָּהּ: כָּל מְלָאכָה לֹא תַעֲשׂוּ חֻקַּת עוֹלָם לְדֹרֹתֵיכֶם בְּכֹל מֹשְׁבֹתֵיכֶם: שַׁבַּת שַׁבָּתוֹן הוּא לָכֶם וְעִנִּיתֶם אֶת נַפְשֹׁתֵיכֶם בְּתִשְׁעָה לַחֹדֶשׁ בָּעֶרֶב מֵעֶרֶב עַד עֶרֶב תִּשְׁבְּתוּ שַׁבַּתְּכֶם:""]",Leviticus 23:26,
"במדבר כט, ז–יא:","[""וּבֶעָשׂוֹר לַחֹדֶשׁ הַשְּׁבִיעִי הַזֶּה מִקְרָא קֹדֶשׁ יִהְיֶה לָכֶם וְעִנִּיתֶם אֶת נַפְשֹׁתֵיכֶם כָּל מְלָאכָה לֹא תַעֲשׂוּ: וְהִקְרַבְתֶּם עֹלָה לַה' רֵיחַ נִיחֹחַ פַּר בֶּן בָּקָר אֶחָד אַיִל אֶחָד כְּבָשִׂים בְּנֵי שָׁנָה שִׁבְעָה תְּמִימִם יִהְיוּ לָכֶם: וּמִנְחָתָם סֹלֶת בְּלוּלָה בַשָּׁמֶן שְׁלֹשָׁה עֶשְׂרֹנִים לַפָּר שְׁנֵי עֶשְׂרֹנִים לָאַיִל הָאֶחָד: עִשָּׂרוֹן עִשָּׂרוֹן לַכֶּבֶשׂ הָאֶחָד לְשִׁבְעַת הַכְּבָשִׂים: שְׂעִיר עִזִּים אֶחָד חַטָּאת מִלְּבַד חַטַּאת הַכִּפֻּרִים וְעֹלַת הַתָּמִיד וּמִנְחָתָהּ וְנִסְכֵּיהֶם:""]",Numbers 29:7-11,
"רש""ר הירש, חורב (מהדורת פלדהיים, תשס""ז), פרק כב, קנה–קנו:","[""ביום זה שומה עליך לתת ביטוי מעשי למחשבה שמכיוון שכל חייך וייעודך ניתנו לך רק בחסדי ה', הרי שבשל עיוות חייך עד כה קיפחת את כוחך וזכותך לחיים ועליך להרגיש את עצמך כאפס וכאין. ואם יש את נפשך באמת ובתמים לשוב ולפתוח בחיים חדשים, כי צמאה נפשך אל חיי אמת באור ה' שיתן לך כוח להתחדשות ויחדש ימיך כאב אוהב המשיב אליו את בנו, - או אז יקרא אותך שנית ה'יהי' שלו אל הוויה חדשה ויעניק לך כוח לחיים חדשים, יבטל ממך את קללת עברך ויחדש עליך עתיד חדש."", 'הביטוי המעשי לכך אינו אלא איסור מלאכה וחובת העינוי, הווי אומר הימנעות מהנאה. לפעול וליהנות – הרי זה כל תוכן חיי האדם, אולם עקב החטא קיפחנו את הכוח הרוחני לפעול ואת הזכות ליהנות...']",,
"מהר""ל, נצח ישראל פרק מד:","['המלאכים, אשר הם נבדלים והם קדושים מן החומר... שהם קדושים מן החמרי הגשמי. וביום אשר מסולק האדם מן החומר, כמו יום הכפורים, שאסור באכילה ובשתיה, ומסולק מאתו שאר ענינים הגשמיים, עד שהאדם קדוש והוא במדריגת המלאכים בפרט...']",,
"יומא עג ע""ב, המשנה (פ""ח מ""א):","['יום הכפורים אסור באכילה, ובשתיה, וברחיצה, ובסיכה, ובנעילת הסנדל, ובתשמיש המטה והמלך והכלה ירחצו את פניהם, והחיה תנעול את הסנדל, דברי רבי אליעזר, וחכמים אוסרין. האוכל ככותבת הגסה, כמוה וכגרעינתה, והשותה מלא לוגמיו - חייב. כל האוכלים מצטרפין לככותבת, וכל המשקין מצטרפין למלא לוגמיו. האוכל ושותה אין מצטרפין.']",Yoma 73b,
"שם עד ע""ב:","['תנו רבנן: תענו את נפשתיכם, יכול ישב בחמה או בצנה כדי שיצטער, תלמוד לומר וכל מלאכה לא תעשו. מה מלאכה - שב ואל תעשה, אף ענוי נפש - שב ואל תעשה. ואימא: היכא דיתיב בשימשא וחיים ליה - לא נימא ליה קום תוב בטולא, יתיב בטולא וקריר ליה, לא נימא ליה קום תוב בשימשא! דומיא דמלאכה, מה מלאכה - לא חלקת בה, אף ענוי - לא תחלוק בו. תניא אידך: תענו את נפשתיכם יכול ישב בחמה ובצנה ויצטער - תלמוד לומר וכל מלאכה לא תעשו, מה מלאכה - דבר שחייבין עליו במקום אחר, אף ענוי נפש - שחייבין עליו במקום אחר. ואי זה זה - זה פגול ונותר. אביא פגול ונותר שהן בכרת, ולא אביא את הטבל שאינו בכרת - תלמוד לומר, תענו ועניתם את נפשתיכם ריבה. אביא הטבל שהוא במיתה, ולא אביא את הנבילה שאינה במיתה - תלמוד לומר תענו ועניתם את נפשתיכם ריבה. - אביא את הנבילה שהוא בלאו, ולא אביא את החולין שאינן בלאו - תלמוד לומר תענו ועניתם את נפשתיכם ריבה. אביא החולין שאינן בקום אכול ולא אביא את התרומה שהיא בקום אכול - תלמוד לומר תענו ועניתם את נפשתיכם ריבה. אביא את התרומה שאינה בבל תותירו ולא אביא את הקדשים שהן בבל תותירו - תלמוד לומר תענו ועניתם את נפשתיכם ריבה. ואם נפשך לומר: הרי הוא אומר והאבדתי את הנפש ההיא - ענוי שהוא אבידת הנפש, ואיזה זה - זה אכילה ושתיה. מאי ואם נפשך לומר? וכי תימא: בעריות קא מישתעי קרא - הרי הוא אומר והאבדתי הנפש ענוי שיש בו אבידת נפש, ואי זה זה - זה אכילה ושתיה. דבי רבי ישמעאל תנא: נאמר כאן ענוי ונאמר להלן ענוי, מה להלן ענוי רעבון - אף כאן ענוי רעבון. ונילף מאם תענה את בנתי! דנין ענוי דרבים מענוי דרבים, ואין דנין ענוי דרבים מענוי דיחיד. ונילף מענוי דמצרים, דכתיב וירא את ענינו ואמרינן: זו פרישות דרך ארץ! אלא, דנין ענוי בידי שמים מענוי בידי שמים, ואין דנין ענוי בידי שמים מענוי בידי אדם.']",,
"חידושי המאירי שם ד""ה 'יש אכילות':","['...וענוי סתם על אכילה ושתיה הוא נאמר כמו שביארנו ויש ענויים שמדברי סופרים כמו שביארנו במשנה והם דברים שמניעתם הפסק תענוג ושמצינו בהם לשון ענוי אבל שיתחייב לענות עצמו בישיבת חמה אם העת חם או בישיבת צנה אם העת קר אף על פי שזה הוא בודאי ענוי לא מפני שלא מצינו בו לשון ענוי אין זה חייב בו שהרי הכתוב הקיש תענית למלאכה מדכתיב תענו את נפשותיכם וכל מלאכה לא תעשו מה מלאכה בשב ואל תעשה אף ענוי בשב ואל תעשה ר""ל במניעת תענוג ולא בהבאת צער.']",,
"מגילה כא ע""א, המשנה (פ""ד מ""א):","['הקורא את המגילה עומד ויושב. קראה אחד, קראוה שנים - יצאו. מקום שנהגו לברך - יברך. ושלא לברך - לא יברך. בשני וחמישי, בשבת במנחה - קורין שלשה, אין פוחתין מהן ואין מוסיפין עליהן, ואין מפטירין בנביא. הפותח והחותם בתורה - מברך לפניה ולאחריה. בראשי חדשים ובחולו של מועד - קורין ארבעה, אין פוחתין מהן ואין מוסיפין עליהן, ואין מפטירין בנביא. הפותח והחותם בתורה - מברך לפניה ולאחריה. זה הכלל: כל שיש בו מוסף ואינו יום טוב - קורין ארבעה. ביום טוב חמשה. ביום הכפורים - ששה, בשבת - שבעה. אין פוחתין מהן, אבל מוסיפין עליהן, ומפטירין בנביא. הפותח והחותם בתורה - מברך לפניה ולאחריה.']",Megillah 21a,
"שם כג ע""א:","[""ביום טוב חמשה ביום הכפורים ששה וכו', מתניתין מני? לא רבי ישמעאל ולא רבי עקיבא, דתניא: ביום טוב - חמשה וביום הכפורים - ששה, ובשבת - שבעה, אין פוחתין מהן ואין מוסיפין עליהן, דברי רבי ישמעאל. רבי עקיבא אומר: ביום טוב - חמשה, וביום הכפורים - שבעה, ובשבת - ששה, אין פוחתין מהן אבל מוסיפין עליהן. מני? אי רבי ישמעאל - קשיא תוספת, אי רבי עקיבא - קשיא ששה ושבעה! אמר רבא: תנא דבי רבי ישמעאל היא, דתנא דבי רבי ישמעאל: ביום טוב - חמשה, ביום הכפורים - ששה, בשבת - שבעה, אין פוחתין מהן אבל מוסיפין עליהן, דברי רבי ישמעאל. - קשיא דרבי ישמעאל אדרבי ישמעאל! תרי תנאי אליבא דרבי ישמעאל. מאן תנא להא דתניא: ביום טוב מאחרין לבוא וממהרין לצאת, ביום הכפורים ממהרין לבוא ומאחרין לצאת, ובשבת ממהרין לבוא וממהרין לצאת - לימא רבי עקיבא, דאית ליה גברא יתירא? אפילו תימא רבי ישמעאל, דנפיש סידורא דיומא.""]",Megillah 23a,
"טורי אבן שם ד""ה 'ביוה""כ ז'':","['טעמא דר""ע לא נתברר לי בשלמא ר""י דאמ\' ביוה""כ ו\' ובשבת ז\', ה""ט כדמפ\' לעיל כל דטפי ליה מילתא מחבריה טפי ליה גברא יתירא, יוה""כ דענוש כרת ששה שבת דאיסור סקילה ז\'. אבל ר""ע דטפי ליה יוה""כ הקל משבת החמור, מ""ט? ואי משום דיוה""כ יום עינוי הוא, אין זה ענין לקדושת היום למטפי גברא יתירא... וי""ל דאיכא צלותא יתירא משבת וי""ט, שהוא תפילת נעילה.']",,
